1000,AAAA800101,5000,08/07/1998,165
1010,BBBB800101,5001,03/05/2000,528
1020,CCCC800101,5002,29/07/2001,582
1030,DDDD800101,5003,21/02/1998,202
1040,EEEE800101,5004,11/12/1999,263
1050,FFFF800101,5005,14/10/2000,503
1060,GGGG800101,5006,04/05/2000,324
1070,HHHH800101,5007,23/02/1998,2
1080,AAAA800101,5008,12/01/1999,86
1090,BBBB800101,5009,01/08/2000,73
1100,CCCC800101,5010,10/09/2001,699
1110,DDDD800101,5011,28/06/2003,368
1120,EEEE800101,5012,03/04/2001,215
1130,FFFF800101,5013,04/04/2002,63
1140,GGGG800101,5014,12/07/2001,219
1150,HHHH800101,5015,04/03/1999,458
1160,AAAA800101,5016,01/06/2000,162
1170,BBBB800101,5017,04/02/1998,180
1180,CCCC800101,5018,14/06/2002,407
1190,DDDD800101,5019,12/09/1998,94
1200,EEEE800101,5000,05/03/2000,177
1210,FFFF800101,5001,05/11/1999,43
1220,GGGG800101,5002,01/02/2003,24
1230,HHHH800101,5003,06/01/2003,530
1240,AAAA800101,5004,12/01/2003,152
1250,BBBB800101,5005,08/07/2002,71
1260,CCCC800101,5006,10/05/1999,460
1270,DDDD800101,5007,10/03/1999,506
1280,EEEE800101,5008,29/07/2002,107
1290,FFFF800101,5009,08/01/1998,132
1300,GGGG800101,5010,08/01/2003,119
1310,HHHH800101,5011,12/04/2002,72
1320,AAAA800101,5012,06/01/2003,698
1330,BBBB800101,5013,10/12/1998,554
1340,CCCC800101,5014,02/12/2002,324
1350,DDDD800101,5015,09/05/1999,272
1360,EEEE800101,5016,07/11/2000,364
1370,FFFF800101,5017,12/02/2000,44
1380,GGGG800101,5018,03/03/2002,302
1390,HHHH800101,5019,12/01/2003,107
1400,AAAA800101,5000,12/03/2002,382
1410,BBBB800101,5001,05/02/2000,601
1420,CCCC800101,5002,07/04/1998,603
1430,DDDD800101,5003,02/09/1999,576
1000,AAAA800101,5019,08/08/1999,254
1010,BBBB800101,5018,29/03/2002,523
1020,CCCC800101,5017,04/02/1999,8
1030,DDDD800101,5016,05/11/2000,295
1040,EEEE800101,5015,12/07/2002,540
1050,FFFF800101,5014,07/03/1999,623
1060,GGGG800101,5013,02/01/2000,692
1070,HHHH800101,5012,03/12/1999,503
1080,AAAA800101,5011,07/11/2002,699
1090,BBBB800101,5010,03/01/1998,421
1100,CCCC800101,5009,06/08/2000,466
1110,DDDD800101,5008,10/05/1999,337
1120,EEEE800101,5007,07/07/2001,692
1130,FFFF800101,5006,06/07/2002,562
1140,GGGG800101,5005,02/09/2001,583
1150,HHHH800101,5004,10/08/2001,453
1160,AAAA800101,5019,09/06/1999,244
1170,BBBB800101,5018,12/11/1999,53
1180,CCCC800101,5017,03/03/2001,334
1190,DDDD800101,5016,04/02/2000,356
1200,EEEE800101,5015,06/05/2000,585
1210,FFFF800101,5014,03/11/2001,70
1220,GGGG800101,5013,04/07/2002,658
1230,HHHH800101,5012,09/12/2002,312
1240,AAAA800101,5011,12/08/2000,366
1250,BBBB800101,5010,04/04/2002,691
1260,CCCC800101,5009,09/08/1999,631
1270,DDDD800101,5008,03/09/1997,546
1280,EEEE800101,5007,03/02/2000,331
1290,FFFF800101,5006,08/02/2001,279
1300,GGGG800101,5005,10/06/2002,521
1310,HHHH800101,5019,02/10/2002,199
1320,AAAA800101,5018,07/03/2000,413
1330,BBBB800101,5017,11/08/2000,93
1340,CCCC800101,5016,06/11/1998,674
1350,DDDD800101,5015,02/08/1999,261
1360,EEEE800101,5014,07/04/2002,265
1370,FFFF800101,5013,08/04/2000,575
1380,GGGG800101,5012,08/07/1998,645
1390,HHHH800101,5011,08/11/2001,697
1400,AAAA800101,5010,05/06/1998,116
1410,BBBB800101,5009,03/05/2002,467
1420,CCCC800101,5008,02/08/2000,278
1430,DDDD800101,5007,09/01/1998,13
1000,AAAA800101,5019,06/04/2000,7
1010,BBBB800101,5018,10/11/2000,667
1020,CCCC800101,5017,04/05/2001,478
1030,DDDD800101,5016,09/04/1998,139
1040,EEEE800101,5015,10/06/2000,546
1050,FFFF800101,5014,04/06/1999,90
1060,GGGG800101,5013,10/07/2000,47
1070,HHHH800101,5012,01/04/2000,516
1080,AAAA800101,5011,01/06/2003,429
1090,BBBB800101,5010,06/06/1998,612
1100,CCCC800101,5009,07/05/2002,523
1110,DDDD800101,5008,09/02/2000,292
1120,EEEE800101,5007,12/03/1998,167
1130,FFFF800101,5006,06/05/1999,673
1140,GGGG800101,5005,07/02/1998,651
1150,HHHH800101,5004,01/09/2003,270
1160,AAAA800101,5019,08/02/2002,665
1170,BBBB800101,5018,06/08/2001,517
1180,CCCC800101,5017,01/06/2001,216
1190,DDDD800101,5016,07/03/2003,622
1200,EEEE800101,5015,10/07/2000,653
1210,FFFF800101,5014,06/09/2001,479
1220,GGGG800101,5013,08/02/2001,653
1230,HHHH800101,5012,08/03/1999,115
1240,AAAA800101,5011,05/08/2003,549
1250,BBBB800101,5010,08/05/1998,690
1260,CCCC800101,5009,10/02/2003,2
1270,DDDD800101,5008,12/04/2002,324
1280,EEEE800101,5007,07/12/2002,448
1290,FFFF800101,5006,07/01/1999,336
1300,GGGG800101,5005,02/02/2003,457
1310,HHHH800101,5019,03/08/2000,463
1320,AAAA800101,5018,03/12/1999,163
1330,BBBB800101,5017,12/06/1998,558
1340,CCCC800101,5016,10/02/1999,11
1350,DDDD800101,5015,05/06/1999,330
1360,EEEE800101,5014,06/07/2001,37
1370,FFFF800101,5013,05/06/2002,423
1380,GGGG800101,5012,01/02/2001,147
1390,HHHH800101,5011,06/01/2002,308
1400,AAAA800101,5010,03/05/2002,441
1410,BBBB800101,5009,05/11/2002,461
1420,CCCC800101,5008,12/02/2001,444
1430,DDDD800101,5007,10/06/2002,506
